Header,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
27.295,-3.56277577,-4.0599575,-453.17438711,0.57248195,0.96158585,-0.67131352,-4.98359497,2.21407076,-6.76332949,-34.16980992,18.41729873,5.25304298,0,18.64315871,-4.03850408,-4.29033644,-16.05926687,-2.86920988,-8.39704553,0,0,0,0
27.3,-3.29228373,-3.98937264,-453.1638619,0.57332484,0.9620459,-0.66698509,-4.4210186,1.75670994,-6.89765363,-35.42014688,17.58285541,5.1632201,0,18.51769979,-3.69841373,-4.30485755,-16.21166345,-2.51993232,-8.43362116,0,0,0,0
27.305,-3.02039494,-3.94391262,-453.16212275,0.57416412,0.96255598,-0.66269177,-3.8546352,1.29216957,-7.03042043,-36.70716833,16.71701532,4.98948016,0,18.33719222,-3.35930692,-4.34807413,-16.30839852,-2.18944835,-8.43640603,0,0,0,0
27.31,-2.76149326,-3.88751832,-453.17095391,0.5749968,0.96305759,-0.65846446,-3.23990965,0.8276901,-7.18338454,-38.03686465,15.81315442,4.79622129,0,18.16022964,-3.03816989,-4.41866947,-16.3839669,-1.8707061,-8.43264414,0,0,0,0
27.315,-2.51090842,-3.82573386,-453.20437119,0.57580748,0.96355736,-0.65430124,-2.58307345,0.36515768,-7.31434049,-39.40490482,14.88948807,4.56770464,0,17.96820543,-2.73042312,-4.50840854,-16.41788137,-1.56353495,-8.41959156,0,0,0,0
27.32,-2.2695727,-3.75774945,-453.25508779,0.57660422,0.96404344,-0.65020921,-1.88520691,-0.09273294,-7.42950061,-40.80667907,13.95142778,4.29854071,0,17.77330418,-2.4355249,-4.61302119,-16.42772509,-1.270558,-8.40394382,0,0,0,0
27.325,-2.03865712,-3.68228539,-453.32845546,0.5773803,0.96450612,-0.64619187,-1.14378256,-0.54541612,-7.52777575,-42.24197014,13.01927527,3.97999641,0,17.57358869,-2.15557965,-4.74406979,-16.40666498,-0.98989442,-8.39789304,0,0,0,0
27.33,-1.81945773,-3.59852324,-453.42499401,0.57813068,0.96493982,-0.64225955,-0.35921206,-0.98552044,-7.59410455,-43.70457712,12.10027823,3.61762601,0,17.37763276,-1.89125563,-4.88511365,-16.36884611,-0.71906602,-8.39758855,0,0,0,0
27.335,-1.61393547,-3.50005022,-453.53420663,0.57885233,0.96533355,-0.63841378,0.47181111,-1.40789157,-7.64398064,-45.18753839,11.20663992,3.19055993,0,17.1935202,-1.6442647,-5.03593579,-16.31233014,-0.46432138,-8.39644249,0,0,0,0
27.34,-1.39832564,-3.43326183,-453.68077031,0.57954811,0.96573727,-0.63462964,1.30055502,-1.84138555,-7.64107736,-46.69097529,10.37307565,2.73489374,0,16.95681673,-1.38864478,-5.21334097,-16.21663775,-0.22401854,-8.41397557,0,0,0,0
27.345,-1.22544648,-3.30465626,-453.83461336,0.58020238,0.96602964,-0.63098164,2.2264493,-2.21863042,-7.63286461,-48.20722886,9.56063671,2.2108701,0,16.81553372,-1.18627937,-5.3972837,-16.16114911,0.02957727,-8.44872747,0,0,0,0
27.35,-1.04503615,-3.20312446,-454.01067855,0.5808289,0.96632961,-0.62739198,3.14553057,-2.59629825,-7.58445032,-49.72531727,8.82088247,1.6456723,0,16.62952278,-0.97625233,-5.59363401,-16.06847694,0.27093513,-8.48099467,0,0,0,0
27.355,-0.83934912,-3.15008558,-454.19611646,0.58144409,0.96665059,-0.62384934,4.03165924,-2.99881324,-7.51593397,-51.24383086,8.17845568,1.04452489,0,16.37862641,-0.73494503,-5.79529638,-15.93895925,0.47284657,-8.50644348,0,0,0,0
27.36,-0.70448646,-2.98775,-454.38823813,0.58198833,0.96681514,-0.62047906,5.05817956,-3.29397669,-7.43067241,-52.75072439,7.55558788,0.35710203,0,16.28935801,-0.58418949,-5.99381872,-15.88057697,0.72270311,-8.55098253,0,0,0,0
27.365,-0.54409513,-2.88954975,-454.59676808,0.58252232,0.96702634,-0.617145,6.02874181,-3.6139347,-7.31886836,-54.24301482,7.04240653,-0.34141404,0,16.11532694,-0.40227508,-6.21034632,-15.78310901,0.94492931,-8.592822,0,0,0,0
27.37,-0.39043358,-2.80097544,-454.81200077,0.58301971,0.96722584,-0.61388334,6.99828893,-3.91262484,-7.19128704,-55.70986026,6.61096785,-1.06658126,0,15.93519008,-0.22822965,-6.42546134,-15.68368005,1.16091619,-8.641861,0,0,0,0
27.375,-0.24265682,-2.7127668,-455.02055471,0.58349459,0.96740281,-0.61069675,7.97240487,-4.18903378,-7.06068968,-57.14533652,6.26333994,-1.83283707,0,15.76377221,-0.05975141,-6.63004326,-15.5887181,1.37143081,-8.68262742,0,0,0,0
27.38,-0.10241996,-2.63286785,-455.22463836,0.58395063,0.96757417,-0.60757543,8.93807811,-4.44386433,-6.92797514,-58.54099407,5.99945743,-2.62146655,0,15.58920273,0.10214122,-6.82867835,-15.49409394,1.57825999,-8.71819985,0,0,0,0
27.385,0.03064535,-2.56242242,-455.42196431,0.58438466,0.96774617,-0.60451437,9.8905363,-4.67705124,-6.79516977,-59.89088474,5.81510828,-3.42356247,0,15.41001331,0.25791697,-7.0200147,-15.40000226,1.78086314,-8.74940713,0,0,0,0
27.39,0.15593909,-2.50105246,-455.60433548,0.5848058,0.96792336,-0.60150615,10.82430781,-4.89039185,-6.6730715,-61.18769357,5.71127498,-4.23373827,0,15.22646371,0.40829653,-7.20038555,-15.30572564,1.97611814,-8.76795646,0,0,0,0
27.395,0.27079269,-2.45124077,-455.7783351,0.58520752,0.96811333,-0.59854657,11.73589482,-5.08142178,-6.55581184,-62.42726544,5.66849234,-5.03125765,0,15.03569883,0.54970509,-7.37404626,-15.21385535,2.16863167,-8.78587351,0,0,0,0
27.4,0.37526179,-2.41454579,-455.94281964,0.58559887,0.96832178,-0.59563515,12.62123364,-5.25132044,-6.44378879,-63.60539227,5.68475345,-5.80349338,0,14.83568431,0.6838734,-7.53596683,-15.12382787,2.35732241,-8.80914272,0,0,0,0
27.405,0.46940718,-2.38229805,-456.08220314,0.58598324,0.96854554,-0.59275918,13.48215934,-5.40224636,-6.35496529,-64.71607366,5.75951464,-6.55084457,0,14.63511795,0.81109372,-7.67827774,-15.03334572,2.53402565,-8.81112285,0,0,0,0
27.41,0.56386744,-2.38364689,-456.21919492,0.58636392,0.96882193,-0.58990059,14.29190492,-5.54995374,-6.26159174,-65.76066554,5.88140299,-7.22684419,0,14.38923581,0.94591566,-7.81280567,-14.91985442,2.69296852,-8.82446806,0,0,0,0
27.415,0.61884907,-2.34487128,-456.32275979,0.58672861,0.96906221,-0.58711592,15.11862086,-5.63884072,-6.20481483,-66.72833175,6.03763783,-7.88730256,0,14.21606554,1.03572015,-7.91680586,-14.85848927,2.87973357,-8.82931075,0,0,0,0
27.42,0.68393697,-2.3497078,-456.4203045,0.58710722,0.96937606,-0.58432546,15.87960157,-5.74217864,-6.14640247,-67.62574839,6.22456674,-8.45048676,0,13.97652417,1.14662427,-8.0156543,-14.75343284,3.02937147,-8.82688661,0,0,0,0
27.425,0.71832148,-2.32847416,-456.49233659,0.58746215,0.96967193,-0.58158612,16.64127392,-5.80049371,-6.11618732,-68.44613174,6.43941555,-8.96586084,0,13.78609794,1.22222732,-8.0864028,-14.68715033,3.19854057,-8.82267954,0,0,0,0
